"id", "osm_id", "lat", "lon"
"179", "1682369726", "-7.2538074", "112.7437494"
"180", "1719471213", "-7.3162309", "112.7451522"
"181", "1720868938", "-7.263037", "112.6828056"
"182", "1722164140", "-7.2239491", "112.7834433"
"183", "1723417903", "-7.327102", "112.6867499"
"184", "1687579087", "-7.2429", "112.7521618"
"185", "1719422354", "-7.3075078", "112.7860471"
"186", "1719766850", "-7.3217088", "112.7952327"
"187", "1722907621", "-7.3119653", "112.7185554"
"188", "1720977973", "-7.2997644", "112.7065473"
"189", "761740725", "-7.2947091", "112.7475938"
"190", "1685009384", "-7.2767497", "112.745392"
"191", "1720869189", "-7.2646017", "112.6831752"
"192", "1720905924", "-7.2814826", "112.7232874"
"193", "1687336458", "-7.2432828", "112.7243947"
"194", "1722165183", "-7.2435796", "112.7947986"
"195", "1095393907", "-7.2168625", "112.7262962"
"196", "1685015261", "-7.2914753", "112.7707751"
"197", "1720976775", "-7.2923715", "112.7118415"
"198", "1723417841", "-7.3269061", "112.6981292"
"199", "1724030788", "-7.3315141", "112.634424"
"200", "270393193", "-7.3223501", "112.7697594"
"201", "1685014808", "-7.2886862", "112.7612688"
"202", "1722448687", "-7.2281252", "112.7706893"
"203", "1721895081", "-7.2329453", "112.7099174"
"204", "1687580873", "-7.2493001", "112.7902351"
"205", "1357640594", "-7.3128877", "112.7831362"
"206", "1720976319", "-7.2877899", "112.7079132"
"207", "1720868637", "-7.2616399", "112.6922158"
"208", "1722835700", "-7.3004211", "112.7994883"
"209", "1685221828", "-7.2949674", "112.7744629"
"210", "1722184093", "-7.2087817", "112.7759733"
"211", "1722231098", "-7.2279357", "112.7358844"
"212", "867760546", "-7.3416235", "112.7127706"
"213", "1719684734", "-7.3458276", "112.7475331"
"214", "1723433075", "-7.3347253", "112.6950567"
"215", "1721971963", "-7.2528824", "112.6561571"
"216", "1721121115", "-7.2678037", "112.6679214"
"217", "1722083433", "-7.2393744", "112.7827173"
"218", "1722467406", "-7.2649735", "112.8003124"
"219", "1720976195", "-7.2867008", "112.7093304"
"220", "1721120873", "-7.2660378", "112.6700366"
"221", "1722847076", "-7.2549319", "112.7589018"
"222", "1719520011", "-7.3231849", "112.7416625"
"223", "1721814553", "-7.2856914", "112.6634899"
"224", "1723417386", "-7.3241199", "112.6989379"
"225", "1721886180", "-7.2401476", "112.7148133"
"226", "1687576671", "-7.2356732", "112.7496796"
"227", "1721841304", "-7.2999174", "112.6431003"
"228", "1721971923", "-7.249475", "112.6483376"
"229", "1720799106", "-7.2685412", "112.7108338"
"230", "1427832577", "-7.3125499", "112.7955125"
"231", "1521201434", "-7.2736261", "112.7740186"
"232", "1114720359", "-7.2206234", "112.7506347"
"233", "1685004580", "-7.2231402", "112.7547702"
"234", "1719578934", "-7.3339449", "112.7446818"
"235", "1724048127", "-7.3356758", "112.6472136"
"236", "1722846854", "-7.247099", "112.7567567"
"237", "1722835498", "-7.2879207", "112.800667"
"238", "1507762767", "-7.2131913", "112.7173642"
"239", "1722184363", "-7.2101925", "112.7753874"
"240", "1721057923", "-7.3101985", "112.7035051"
"241", "1687336948", "-7.2613774", "112.7197229"
"242", "1719931894", "-7.330161", "112.8071292"
"243", "1687583490", "-7.2589794", "112.7749672"
"244", "1724047733", "-7.3284358", "112.6375682"
"245", "1719579026", "-7.3350511", "112.7475773"
"246", "1687756965", "-7.2579305", "112.7201639"
"247", "1719470669", "-7.3106717", "112.742781"
"248", "1719684869", "-7.3469574", "112.7399136"
"249", "660562603", "-7.3495883", "112.8013675"
"250", "1719641794", "-7.3362563", "112.7339084"
"251", "1722031920", "-7.217548", "112.76737"
"252", "1719408918", "-7.3044208", "112.779194"
"253", "1510862791", "-7.2323051", "112.7220327"
"254", "1719770724", "-7.3373112", "112.774208"
"255", "1722952327", "-7.322008", "112.7196955"
"256", "1685005438", "-7.2663651", "112.7617295"
"257", "1719948245", "-7.3414878", "112.7988467"
"258", "1723416509", "-7.316518", "112.7043888"
"259", "1114720142", "-7.2250298", "112.7409108"
"260", "1685222337", "-7.2995319", "112.75372"
"261", "1722049464", "-7.2286434", "112.7581093"
"262", "1724031605", "-7.3379501", "112.648144"
"263", "1721175131", "-7.263042", "112.6564672"
"264", "1721814731", "-7.2880761", "112.6721808"
"265", "420808542", "-7.2234935", "112.732072"
"266", "1719579194", "-7.3373184", "112.753457"
"267", "1723418032", "-7.327548", "112.6899265"
"268", "1682377623", "-7.2695914", "112.7387167"
"269", "1719578548", "-7.3294369", "112.7359816"
"270", "1722083377", "-7.2371466", "112.7742359"
"271", "1719931475", "-7.3221341", "112.798997"
"272", "1719579553", "-7.3405129", "112.7536076"
"273", "1721121074", "-7.2672837", "112.6684015"
"274", "1723416128", "-7.3109327", "112.7063159"
"275", "1687584992", "-7.2680773", "112.7744773"
"276", "1722467340", "-7.262583", "112.7955178"
"277", "1722989355", "-7.3354613", "112.7110937"
"278", "1517875850", "-7.318994", "112.7132286"
"279", "1719768601", "-7.3277359", "112.7707056"
"280", "1720642106", "-7.3548587", "112.7484874"
"281", "1719470492", "-7.3088512", "112.7587854"
"282", "1365152956", "-7.2867823", "112.7982916"
"283", "420414510", "-7.2490704", "112.7091662"
"284", "1719422257", "-7.3051671", "112.7968995"
"285", "1721814540", "-7.2855851", "112.6596909"
"286", "1685006256", "-7.2719105", "112.7674164"
"287", "1721013855", "-7.2866216", "112.6938885"
"288", "1722283677", "-7.2161159", "112.731063"
"289", "1723437182", "-7.3277205", "112.677565"
"290", "1362399237", "-7.2854973", "112.7981051"
"291", "1721015212", "-7.3034952", "112.6857473"
"292", "1720829918", "-7.2827426", "112.6937768"
"293", "1687584532", "-7.2644998", "112.7729111"
"294", "1721813970", "-7.2740875", "112.6418699"
"295", "1685219032", "-7.2573752", "112.7602736"
"296", "1719535497", "-7.3308465", "112.7605626"
"297", "1721142207", "-7.2593478", "112.6697356"
"298", "1722448629", "-7.2201371", "112.736416"
"299", "1721971767", "-7.2426479", "112.6402192"
"300", "1687579935", "-7.2441848", "112.7580253"
"301", "1721120288", "-7.2631706", "112.6609108"
"302", "1719509406", "-7.3156832", "112.7558594"
"303", "1720772963", "-7.2747725", "112.7127984"
"304", "1685010114", "-7.2779806", "112.7593083"
"305", "1723227824", "-7.3578269", "112.7033348"
"306", "1721120946", "-7.2663915", "112.6703124"
"307", "1723042344", "-7.3579675", "112.7222881"
"308", "1687579146", "-7.2429917", "112.7786382"
"309", "1722825225", "-7.2694762", "112.8052962"
"310", "1685221790", "-7.2947349", "112.7767944"
"311", "1722031695", "-7.2149238", "112.7529335"
"312", "1723418155", "-7.3280546", "112.6971029"
"313", "413886946", "-7.2777092", "112.74318"
"314", "1724116369", "-7.3116994", "112.6734755"
"315", "1719964130", "-7.3491991", "112.7810949"
"316", "1721174840", "-7.2587242", "112.6608482"
"317", "1721814752", "-7.288383", "112.6591434"
"318", "1357641796", "-7.3155281", "112.782781"
